Date,City,Location,Lemon,Orange,Temperature,Leaflets,Price
7/01/2016,NY,Park,97,67,70.0,90,0.25
7/02/2016,NY,Park,98,67,72.0,90,0.25
7/03/2016,Chicago,Park,110,77,71.0,104,0.25
7/04/2016,LA,Beach,134,99,76.0,98,0.25
7/05/2016,LA,Beach,159,118,78.0,135,0.25
7/06/2016,San Diego,Beach,103,69,82.0,90,0.25
7/06/2016,Miami,Beach,103,69,82.0,90,0.25
7/07/2016,San Diego,Beach,143,101,81.0,135,0.25
7/08/2016,LA,Beach,123,86,82.0,113,0.25
7/09/2016,LA,Beach,134,95,80.0,126,0.25
7/10/2016,Miami,Beach,140,98,82.0,131,0.25
7/11/2016,San Francisco,Beach,162,120,83.0,135,0.25
7/12/2016,San Francisco,Beach,130,95,84.0,99,0.25
7/13/2016,LA,Beach,109,75,77.0,99,0.25
7/14/2016,Miami,Beach,122,85,78.0,113,0.25
7/15/2016,Filadelfia,Beach,98,62,75.0,108,0.5
7/16/2016,Houston,Beach,81,50,74.0,90,0.5
7/17/2016,San Francisco,Beach,115,76,77.0,126,0.5
7/18/2016,NY,Park,131,92,81.0,122,0.5
7/19/2016,Dallas,Park,122,85,78.0,113,0.5
7/20/2016,Austin,Park,71,42,70,105,0.5
7/21/2016,Washington,Park,83,50,77.0,90,0.5
7/22/2016,Washington,Park,112,75,80.0,108,0.5
7/23/2016,Boston,Park,120,82,81.0,117,0.5
7/24/2016,NY,Park,121,82,82.0,117,0.5
7/25/2016,Houston,Park,156,113,84.0,135,0.5
7/26/2016,LA,Park,176,129,83.0,158,0.35
7/27/2016,NY,Park,104,68,80.0,99,0.35
7/28/2016,LA,Park,96,63,82.0,90,0.35
7/29/2016,Chicago,Park,100,66,81.0,95,0.35
7/30/2016,San Diego,Beach,88,57,82.0,81,0.35
7/31/2016,LA,Beach,76,47,82.0,68,0.35
